,Symbol,Name,Price,1h Δ,24h Δ,24h vol,Market cap (USD),Supply,Updated
0,<a href=https://cryptocompare.com/coins/btc/overview>BTC</a>,<a href=https://cryptocompare.com/coins/btc/overview>Bitcoin</a>,"44,510.87",<p class=green>+0.26</p>,<p class=green>+0.4</p>,"3,650,575,401.0","845,477,833,149.0","18,994,862.0",2022-03-26 23:39:04
1,<a href=https://cryptocompare.com/coins/eth/overview>ETH</a>,<a href=https://cryptocompare.com/coins/eth/overview>Ethereum</a>,"3,145.21",<p class=green>+0.28</p>,<p class=green>+1.32</p>,"2,304,886,495.0","377,817,653,599.0","120,124,778.0",2022-03-26 23:39:03
2,<a href=https://cryptocompare.com/coins/xrp/overview>XRP</a>,<a href=https://cryptocompare.com/coins/xrp/overview>XRP</a>,0.83,<p class=red>-0.08</p>,<p class=green>+0.8</p>,"390,035,303.0","83,101,403,537.0","99,989,656,524.0",2022-03-26 23:39:11
3,<a href=https://cryptocompare.com/coins/usdt/overview>USDT</a>,<a href=https://cryptocompare.com/coins/usdt/overview>Tether</a>,1.0,<p class=green>+0.0</p>,<p class=green>+0.0</p>,"298,105,985.0","81,312,735,958.0","81,312,735,958.0",2022-03-26 23:39:04
4,<a href=https://cryptocompare.com/coins/luna/overview>LUNA</a>,<a href=https://cryptocompare.com/coins/luna/overview>Terra</a>,91.59,<p class=red>-0.02</p>,<p class=green>+1.29</p>,"505,115,374.0","69,094,609,556.0","754,390,321.0",2022-03-26 23:39:11
5,<a href=https://cryptocompare.com/coins/bnb/overview>BNB</a>,<a href=https://cryptocompare.com/coins/bnb/overview>Binance Coin</a>,415.87,<p class=green>+0.3</p>,<p class=green>+1.34</p>,"415,343,578.0","68,669,725,752.0","165,123,057.0",2022-03-26 23:38:26
6,<a href=https://cryptocompare.com/coins/sol/overview>SOL</a>,<a href=https://cryptocompare.com/coins/sol/overview>Solana</a>,101.82,<p class=green>+0.39</p>,<p class=green>+3.22</p>,"537,070,498.0","52,763,198,319.0","518,200,729.0",2022-03-26 23:39:08
7,<a href=https://cryptocompare.com/coins/ada/overview>ADA</a>,<a href=https://cryptocompare.com/coins/ada/overview>Cardano</a>,1.15,<p class=green>+0.96</p>,<p class=green>+5.11</p>,"684,376,010.0","38,181,645,135.0","33,115,043,482.0",2022-03-26 23:38:57
8,<a href=https://cryptocompare.com/coins/avax/overview>AVAX</a>,<a href=https://cryptocompare.com/coins/avax/overview>Avalanche</a>,85.9,<p class=green>+0.3</p>,<p class=green>+2.76</p>,"405,948,403.0","34,420,190,373.0","400,700,702.0",2022-03-26 23:39:06
9,<a href=https://cryptocompare.com/coins/dot/overview>DOT</a>,<a href=https://cryptocompare.com/coins/dot/overview>Polkadot</a>,20.87,<p class=green>+0.14</p>,<p class=green>+1.56</p>,"231,435,327.0","24,584,181,103.0","1,177,967,470.0",2022-03-26 23:38:47
10,<a href=https://cryptocompare.com/coins/doge/overview>DOGE</a>,<a href=https://cryptocompare.com/coins/doge/overview>Dogecoin</a>,0.14,<p class=green>+0.74</p>,<p class=green>+3.82</p>,"415,161,901.0","18,177,831,300.0","133,758,876,383.0",2022-03-26 23:39:03
11,<a href=https://cryptocompare.com/coins/axs/overview>AXS</a>,<a href=https://cryptocompare.com/coins/axs/overview>Axie Infinity Shards</a>,66.72,<p class=red>-0.04</p>,<p class=red>-6.8</p>,"290,639,833.0","18,014,400,000.0","270,000,000.0",2022-03-26 23:39:04
12,<a href=https://cryptocompare.com/coins/busd/overview>BUSD</a>,<a href=https://cryptocompare.com/coins/busd/overview>BUSD</a>,1.0,<p class=green>+0.01</p>,<p class=green>+0.0</p>,"400,939,849.0","17,566,012,245.0","17,566,012,245.0",2022-03-26 23:38:28
13,<a href=https://cryptocompare.com/coins/ust/overview>UST</a>,<a href=https://cryptocompare.com/coins/ust/overview>TerraUSD</a>,1.0,<p class=green>+0.1</p>,<p class=green>+0.2</p>,"63,109,180.0","16,136,727,326.0","16,104,518,290.0",2022-03-26 23:39:10
14,<a href=https://cryptocompare.com/coins/matic/overview>MATIC</a>,<a href=https://cryptocompare.com/coins/matic/overview>Polygon</a>,1.61,<p class=green>+0.31</p>,<p class=green>+2.09</p>,"172,825,631.0","16,110,000,000.0","10,000,000,000.0",2022-03-26 23:38:45
15,<a href=https://cryptocompare.com/coins/link/overview>LINK</a>,<a href=https://cryptocompare.com/coins/link/overview>Chainlink</a>,15.85,<p class=green>+0.64</p>,<p class=green>+1.6</p>,"167,112,946.0","15,850,000,000.0","1,000,000,000.0",2022-03-26 23:39:08
16,<a href=https://cryptocompare.com/coins/ftt/overview>FTT</a>,<a href=https://cryptocompare.com/coins/ftt/overview>FTX Token</a>,49.93,<p class=green>+0.24</p>,<p class=green>+0.36</p>,"49,361,989.0","15,835,244,955.0","317,148,907.0",2022-03-26 23:38:56
17,<a href=https://cryptocompare.com/coins/shib/overview>SHIB</a>,<a href=https://cryptocompare.com/coins/shib/overview>Shiba Inu</a>,0.0,<p class=green>+0.37</p>,<p class=green>+1.24</p>,"243,999,892.0","14,401,276,132.0","589,732,847,357,226.0",2022-03-26 23:39:02
18,<a href=https://cryptocompare.com/coins/cro/overview>CRO</a>,<a href=https://cryptocompare.com/coins/cro/overview>Cronos</a>,0.46,<p class=green>+0.4</p>,<p class=green>+0.53</p>,"24,015,995.0","13,857,433,969.0","30,263,013,692.0",2022-03-26 23:39:06
19,<a href=https://cryptocompare.com/coins/ape/overview>APE</a>,<a href=https://cryptocompare.com/coins/ape/overview>ApeCoin</a>,13.79,<p class=green>+1.25</p>,<p class=green>+11.3</p>,"79,618,782.0","13,790,000,000.0","1,000,000,000.0",2022-03-26 23:39:07
20,<a href=https://cryptocompare.com/coins/klay/overview>KLAY</a>,<a href=https://cryptocompare.com/coins/klay/overview>Klaytn</a>,1.15,<p class=green>+0.6</p>,<p class=green>+1.98</p>,"23,284,071.0","12,461,028,951.0","10,829,970,524.0",2022-03-26 23:39:04
22,<a href=https://cryptocompare.com/coins/wbtc/overview>WBTC</a>,<a href=https://cryptocompare.com/coins/wbtc/overview>Wrapped Bitcoin</a>,"44,536.17",<p class=green>+0.35</p>,<p class=green>+0.54</p>,"27,483,340.0","12,213,175,644.0","274,230.0",2022-03-26 23:39:03
23,<a href=https://cryptocompare.com/coins/xlm/overview>XLM</a>,<a href=https://cryptocompare.com/coins/xlm/overview>Stellar</a>,0.21,<p class=green>+0.47</p>,<p class=green>+1.61</p>,"78,486,611.0","10,735,383,894.0","50,001,788,049.0",2022-03-26 23:39:06
24,<a href=https://cryptocompare.com/coins/uni/overview>UNI</a>,<a href=https://cryptocompare.com/coins/uni/overview>Uniswap Protocol Token</a>,10.57,<p class=green>+0.57</p>,<p class=red>-0.1</p>,"71,620,768.0","10,570,000,000.0","1,000,000,000.0",2022-03-26 23:38:58
25,<a href=https://cryptocompare.com/coins/sand/overview>SAND</a>,<a href=https://cryptocompare.com/coins/sand/overview>The Sandbox</a>,3.4,<p class=green>+0.38</p>,<p class=green>+0.83</p>,"115,320,294.0","10,197,000,000.0","3,000,000,000.0",2022-03-26 23:39:09
26,<a href=https://cryptocompare.com/coins/gala/overview>GALA</a>,<a href=https://cryptocompare.com/coins/gala/overview>Gala</a>,0.25,<p class=green>+0.36</p>,<p class=green>+2.61</p>,"38,243,928.0","9,334,362,250.0","37,129,523,670.0",2022-03-26 23:39:07
27,<a href=https://cryptocompare.com/coins/dai/overview>DAI</a>,<a href=https://cryptocompare.com/coins/dai/overview>Dai</a>,1.0,<p class=red>-0.01</p>,<p class=green>+0.0</p>,"7,322,458.0","9,240,965,999.0","9,242,814,562.0",2022-03-26 23:38:52
28,<a href=https://cryptocompare.com/coins/icp/overview>ICP</a>,<a href=https://cryptocompare.com/coins/icp/overview>Internet Computer</a>,19.25,<p class=green>+0.21</p>,<p class=green>+2.56</p>,"48,915,091.0","9,223,400,207.0","479,137,673.0",2022-03-26 23:38:42
29,<a href=https://cryptocompare.com/coins/ltc/overview>LTC</a>,<a href=https://cryptocompare.com/coins/ltc/overview>Litecoin</a>,124.62,<p class=red>-0.22</p>,<p class=green>+0.5</p>,"117,964,390.0","8,714,883,249.0","69,931,658.0",2022-03-26 23:39:08
30,<a href=https://cryptocompare.com/coins/atom/overview>ATOM</a>,<a href=https://cryptocompare.com/coins/atom/overview>Cosmos</a>,28.89,<p class=green>+0.45</p>,<p class=green>+2.67</p>,"239,676,140.0","8,414,743,735.0","291,268,388.0",2022-03-26 23:38:53
31,<a href=https://cryptocompare.com/coins/near/overview>NEAR</a>,<a href=https://cryptocompare.com/coins/near/overview>Near</a>,12.73,<p class=green>+0.64</p>,<p class=green>+4.08</p>,"329,708,989.0","8,404,357,897.0","660,195,291.0",2022-03-26 23:39:06
32,<a href=https://cryptocompare.com/coins/bch/overview>BCH</a>,<a href=https://cryptocompare.com/coins/bch/overview>Bitcoin Cash</a>,361.95,<p class=green>+0.2</p>,<p class=red>-0.88</p>,"121,483,884.0","6,884,112,511.0","19,019,512.0",2022-03-26 23:38:44
33,<a href=https://cryptocompare.com/coins/trx/overview>TRX</a>,<a href=https://cryptocompare.com/coins/trx/overview>TRON</a>,0.07,<p class=green>+0.55</p>,<p class=green>+2.5</p>,"412,826,335.0","6,544,013,993.0","99,241,947,122.0",2022-03-26 23:38:57
34,<a href=https://cryptocompare.com/coins/algo/overview>ALGO</a>,<a href=https://cryptocompare.com/coins/algo/overview>Algorand</a>,0.92,<p class=green>+0.25</p>,<p class=green>+2.9</p>,"115,894,964.0","6,466,273,843.0","7,063,106,328.0",2022-03-26 23:39:07
35,<a href=https://cryptocompare.com/coins/etc/overview>ETC</a>,<a href=https://cryptocompare.com/coins/etc/overview>Ethereum Classic</a>,47.28,<p class=red>-0.51</p>,<p class=red>-1.81</p>,"514,762,161.0","6,240,775,180.0","131,996,090.0",2022-03-26 23:38:36
36,<a href=https://cryptocompare.com/coins/okb/overview>OKB</a>,<a href=https://cryptocompare.com/coins/okb/overview>OKX</a>,21.98,<p class=red>-0.09</p>,<p class=green>+1.76</p>,"112,994,301.0","5,774,736,011.0","262,680,011.0",2022-03-26 23:39:04
37,<a href=https://cryptocompare.com/coins/mana/overview>MANA</a>,<a href=https://cryptocompare.com/coins/mana/overview>Decentraland</a>,2.62,<p class=green>+0.58</p>,<p class=green>+1.0</p>,"78,485,725.0","5,743,167,932.0","2,193,723,427.0",2022-03-26 23:39:09
38,<a href=https://cryptocompare.com/coins/vet/overview>VET</a>,<a href=https://cryptocompare.com/coins/vet/overview>VeChain</a>,0.07,<p class=green>+2.84</p>,<p class=green>+17.09</p>,"199,956,739.0","5,597,626,180.0","85,985,041,177.0",2022-03-26 23:39:01
39,<a href=https://cryptocompare.com/coins/leo/overview>LEO</a>,<a href=https://cryptocompare.com/coins/leo/overview>LEO Token</a>,5.78,<p class=red>-0.34</p>,<p class=red>-2.65</p>,"343,111.0","5,413,165,547.0","936,695,889.0",2022-03-26 23:39:00
40,<a href=https://cryptocompare.com/coins/dydx/overview>DYDX</a>,<a href=https://cryptocompare.com/coins/dydx/overview>dYdX</a>,5.41,<p class=green>+1.01</p>,<p class=green>+3.84</p>,"54,746,552.0","5,412,000,000.0","1,000,000,000.0",2022-03-26 23:35:46
41,<a href=https://cryptocompare.com/coins/rune/overview>RUNE</a>,<a href=https://cryptocompare.com/coins/rune/overview>Thorchain</a>,10.51,<p class=green>+0.38</p>,<p class=green>+10.57</p>,"289,927,177.0","5,255,000,000.0","500,000,000.0",2022-03-26 23:38:47
42,<a href=https://cryptocompare.com/coins/qnt/overview>QNT</a>,<a href=https://cryptocompare.com/coins/qnt/overview>Quant</a>,142.48,<p class=green>+1.32</p>,<p class=green>+3.67</p>,"15,825,097.0","5,118,057,427.0","35,921,234.0",2022-03-26 23:38:28
43,<a href=https://cryptocompare.com/coins/usdc/overview>USDC</a>,<a href=https://cryptocompare.com/coins/usdc/overview>USD Coin</a>,1.0,<p class=green>+0.0</p>,<p class=green>+0.0</p>,"135,826,442.0","5,081,853,318.0","5,081,853,318.0",2022-03-26 23:38:42
44,<a href=https://cryptocompare.com/coins/hbar/overview>HBAR</a>,<a href=https://cryptocompare.com/coins/hbar/overview>Hedera Hashgraph</a>,0.23,<p class=green>+0.53</p>,<p class=green>+1.44</p>,"32,139,325.0","4,510,464,978.0","19,940,163,476.0",2022-03-26 23:35:36
45,<a href=https://cryptocompare.com/coins/egld/overview>EGLD</a>,<a href=https://cryptocompare.com/coins/egld/overview>Elrond</a>,190.16,<p class=green>+0.23</p>,<p class=green>+4.54</p>,"114,861,591.0","4,452,549,620.0","23,414,754.0",2022-03-26 23:35:25
46,<a href=https://cryptocompare.com/coins/imx/overview>IMX</a>,<a href=https://cryptocompare.com/coins/imx/overview>Immutable X</a>,2.2,<p class=red>-0.09</p>,<p class=red>-2.57</p>,"46,198,870.0","4,396,000,000.0","2,000,000,000.0",2022-03-26 23:38:36
47,<a href=https://cryptocompare.com/coins/grt/overview>GRT</a>,<a href=https://cryptocompare.com/coins/grt/overview>The Graph</a>,0.41,<p class=red>-0.19</p>,<p class=green>+0.59</p>,"46,864,500.0","4,250,080,274.0","10,330,773,638.0",2022-03-26 23:39:00
48,<a href=https://cryptocompare.com/coins/ilv/overview>ILV</a>,<a href=https://cryptocompare.com/coins/ilv/overview>Illuvium</a>,590.99,<p class=green>+0.28</p>,<p class=green>+2.3</p>,"3,156,128.0","4,136,894,713.0","7,000,000.0",2022-03-26 23:39:03
49,<a href=https://cryptocompare.com/coins/crv/overview>CRV</a>,<a href=https://cryptocompare.com/coins/crv/overview>Curve DAO Token</a>,2.4,<p class=green>+0.71</p>,<p class=green>+5.3</p>,"41,357,263.0","4,125,353,196.0","1,715,323,574.0",2022-03-26 23:39:09
50,<a href=https://cryptocompare.com/coins/xmr/overview>XMR</a>,<a href=https://cryptocompare.com/coins/xmr/overview>Monero</a>,207.55,<p class=green>+0.44</p>,<p class=green>+3.96</p>,"83,229,993.0","3,756,348,182.0","18,098,521.0",2022-03-26 23:38:33
51,<a href=https://cryptocompare.com/coins/ftm/overview>FTM</a>,<a href=https://cryptocompare.com/coins/ftm/overview>Fantom</a>,1.4,<p class=green>+1.01</p>,<p class=green>+3.55</p>,"234,100,056.0","3,744,548,193.0","2,676,589,130.0",2022-03-26 23:38:32
52,<a href=https://cryptocompare.com/coins/waves/overview>WAVES</a>,<a href=https://cryptocompare.com/coins/waves/overview>Waves</a>,32.93,<p class=red>-0.96</p>,<p class=green>+5.51</p>,"234,384,359.0","3,551,184,503.0","107,840,404.0",2022-03-26 23:37:08
53,<a href=https://cryptocompare.com/coins/fil/overview>FIL</a>,<a href=https://cryptocompare.com/coins/fil/overview>FileCoin</a>,19.25,<p class=green>+0.42</p>,<p class=green>+2.23</p>,"76,534,742.0","3,511,910,594.0","182,436,914.0",2022-03-26 23:38:55
54,<a href=https://cryptocompare.com/coins/dfi/overview>DFI</a>,<a href=https://cryptocompare.com/coins/dfi/overview>DeFiChain</a>,4.35,<p class=green>+0.05</p>,<p class=green>+3.37</p>,"1,393,678.0","3,402,147,914.0","782,334,611.0",2022-03-26 23:39:04
55,<a href=https://cryptocompare.com/coins/gno/overview>GNO</a>,<a href=https://cryptocompare.com/coins/gno/overview>Gnosis</a>,339.35,<p class=red>-0.05</p>,<p class=green>+0.65</p>,"160,687.0","3,393,508,728.0","10,000,000.0",2022-03-26 23:39:04
56,<a href=https://cryptocompare.com/coins/xtz/overview>XTZ</a>,<a href=https://cryptocompare.com/coins/xtz/overview>Tezos</a>,3.67,<p class=green>+0.3</p>,<p class=green>+4.26</p>,"116,751,652.0","3,341,026,711.0","910,609,624.0",2022-03-26 23:38:59
57,<a href=https://cryptocompare.com/coins/theta/overview>THETA</a>,<a href=https://cryptocompare.com/coins/theta/overview>Theta</a>,3.29,<p class=green>+0.98</p>,<p class=green>+3.83</p>,"59,619,014.0","3,292,469,053.0","1,000,000,000.0",2022-03-26 23:39:04
58,<a href=https://cryptocompare.com/coins/pci/overview>PCI</a>,<a href=https://cryptocompare.com/coins/pci/overview>PayProtocol Paycoin</a>,0.83,<p class=green>+0.26</p>,<p class=red>-0.24</p>,"474,601.0","3,259,254,152.0","3,941,000,000.0",2022-03-26 23:39:04
59,<a href=https://cryptocompare.com/coins/ldo/overview>LDO</a>,<a href=https://cryptocompare.com/coins/ldo/overview>Lido DAO</a>,3.19,<p class=red>-0.5</p>,<p class=red>-7.85</p>,"3,709,500.0","3,180,603,449.0","996,308,500.0",2022-03-26 23:39:03
60,<a href=https://cryptocompare.com/coins/kcs/overview>KCS</a>,<a href=https://cryptocompare.com/coins/kcs/overview>KuCoin Token</a>,18.76,<p class=green>+0.35</p>,<p class=green>+0.41</p>,"3,185,113.0","3,191,090,930.0","170,118,638.0",2022-03-26 23:39:03
61,<a href=https://cryptocompare.com/coins/rly/overview>RLY</a>,<a href=https://cryptocompare.com/coins/rly/overview>Rally</a>,0.21,<p class=red>-0.47</p>,<p class=green>+2.58</p>,"2,306,737.0","3,156,000,000.0","15,000,000,000.0",2022-03-26 23:39:09
62,<a href=https://cryptocompare.com/coins/celo/overview>CELO</a>,<a href=https://cryptocompare.com/coins/celo/overview>Celo</a>,3.14,<p class=green>+0.64</p>,<p class=green>+1.62</p>,"31,704,418.0","3,140,000,000.0","1,000,000,000.0",2022-03-26 23:37:37
63,<a href=https://cryptocompare.com/coins/ygg/overview>YGG</a>,<a href=https://cryptocompare.com/coins/ygg/overview>Yield Guild Games</a>,2.79,<p class=green>+0.62</p>,<p class=green>+1.32</p>,"163,529.0","2,789,801,270.0","1,000,000,000.0",2022-03-26 23:39:03
64,<a href=https://cryptocompare.com/coins/hnt/overview>HNT</a>,<a href=https://cryptocompare.com/coins/hnt/overview>Helium</a>,24.06,<p class=green>+0.29</p>,<p class=green>+2.82</p>,"15,226,432.0","2,771,192,980.0","115,178,428.0",2022-03-26 23:37:15
66,<a href=https://cryptocompare.com/coins/rose/overview>ROSE</a>,<a href=https://cryptocompare.com/coins/rose/overview>Oasis Labs</a>,0.27,<p class=green>+0.26</p>,<p class=green>+1.43</p>,"27,540,148.0","2,648,396,765.0","10,000,000,000.0",2022-03-26 23:39:04
67,<a href=https://cryptocompare.com/coins/amp/overview>AMP</a>,<a href=https://cryptocompare.com/coins/amp/overview>Amp</a>,0.03,<p class=green>+0.15</p>,<p class=green>+1.42</p>,"4,689,471.0","2,630,288,426.0","99,443,796,846.0",2022-03-26 23:39:05
68,<a href=https://cryptocompare.com/coins/eos/overview>EOS</a>,<a href=https://cryptocompare.com/coins/eos/overview>EOS</a>,2.5,<p class=green>+0.08</p>,<p class=red>-0.36</p>,"101,374,009.0","2,627,316,142.0","1,050,506,254.0",2022-03-26 23:38:06
69,<a href=https://cryptocompare.com/coins/aave/overview>AAVE</a>,<a href=https://cryptocompare.com/coins/aave/overview>Aave</a>,163.29,<p class=green>+0.38</p>,<p class=green>+0.47</p>,"69,290,495.0","2,612,640,000.0","16,000,000.0",2022-03-26 23:39:01
70,<a href=https://cryptocompare.com/coins/zec/overview>ZEC</a>,<a href=https://cryptocompare.com/coins/zec/overview>ZCash</a>,206.23,<p class=green>+0.94</p>,<p class=green>+5.59</p>,"195,128,864.0","2,529,691,972.0","12,266,362.0",2022-03-26 23:39:06
71,<a href=https://cryptocompare.com/coins/neo/overview>NEO</a>,<a href=https://cryptocompare.com/coins/neo/overview>NEO</a>,24.68,<p class=green>+0.49</p>,<p class=green>+2.03</p>,"73,430,199.0","2,468,000,000.0","100,000,000.0",2022-03-26 23:37:18
72,<a href=https://cryptocompare.com/coins/anc/overview>ANC</a>,<a href=https://cryptocompare.com/coins/anc/overview>Anchor Protocol</a>,2.46,<p class=red>-0.48</p>,<p class=green>+0.68</p>,"8,589,034.0","2,462,699,430.0","1,000,000,000.0",2022-03-26 23:39:03
73,<a href=https://cryptocompare.com/coins/cvx/overview>CVX</a>,<a href=https://cryptocompare.com/coins/cvx/overview>Convex Finance</a>,28.21,<p class=green>+2.57</p>,<p class=green>+15.65</p>,"23,565,570.0","2,458,279,845.0","87,125,339.0",2022-03-26 23:39:10
74,<a href=https://cryptocompare.com/coins/1inch/overview>1INCH</a>,<a href=https://cryptocompare.com/coins/1inch/overview>1inch</a>,1.63,<p class=green>+0.8</p>,<p class=green>+3.56</p>,"24,671,193.0","2,443,500,000.0","1,500,000,000.0",2022-03-26 23:39:02
75,<a href=https://cryptocompare.com/coins/mc/overview>MC</a>,<a href=https://cryptocompare.com/coins/mc/overview>Merit Circle</a>,2.48,<p class=green>+0.08</p>,<p class=red>-0.67</p>,"2,558,405.0","2,421,569,422.0","974,982,099.0",2022-03-26 23:39:04
76,<a href=https://cryptocompare.com/coins/flow/overview>FLOW</a>,<a href=https://cryptocompare.com/coins/flow/overview>Flow - Dapper Labs</a>,6.62,<p class=green>+0.99</p>,<p class=green>+4.61</p>,"29,007,974.0","2,360,113,562.0","356,458,777.0",2022-03-26 23:39:08
77,<a href=https://cryptocompare.com/coins/mina/overview>MINA</a>,<a href=https://cryptocompare.com/coins/mina/overview>Mina Protocol</a>,2.57,<p class=red>-0.77</p>,<p class=green>+3.63</p>,"28,329,099.0","2,322,616,972.0","903,742,012.0",2022-03-26 23:37:23
78,<a href=https://cryptocompare.com/coins/nexo/overview>NEXO</a>,<a href=https://cryptocompare.com/coins/nexo/overview>NEXO</a>,2.32,<p class=green>+0.01</p>,<p class=green>+0.23</p>,"1,653,523.0","2,318,019,770.0","1,000,000,000.0",2022-03-26 23:39:03
79,<a href=https://cryptocompare.com/coins/miota/overview>MIOTA</a>,<a href=https://cryptocompare.com/coins/miota/overview>IOTA</a>,0.83,<p class=green>+1.06</p>,<p class=green>+5.94</p>,"23,310,196.0","2,306,176,276.0","2,779,530,283.0",2022-03-26 23:39:02
80,<a href=https://cryptocompare.com/coins/ar/overview>AR</a>,<a href=https://cryptocompare.com/coins/ar/overview>Arweave</a>,35.59,<p class=green>+0.62</p>,<p class=green>+3.72</p>,"34,800,421.0","2,299,410,838.0","64,598,643.0",2022-03-26 23:39:04
81,<a href=https://cryptocompare.com/coins/cel/overview>CEL</a>,<a href=https://cryptocompare.com/coins/cel/overview>Celsius Network</a>,3.29,<p class=red>-0.01</p>,<p class=red>-0.95</p>,"291,279.0","2,280,811,439.0","693,942,432.0",2022-03-26 23:39:03
82,<a href=https://cryptocompare.com/coins/xdc/overview>XDC</a>,<a href=https://cryptocompare.com/coins/xdc/overview>Xinfin Network</a>,0.06,<p class=green>+1.03</p>,<p class=green>+4.61</p>,"2,885,470.0","2,228,309,538.0","37,705,012,698.0",2022-03-26 23:39:03
83,<a href=https://cryptocompare.com/coins/chz/overview>CHZ</a>,<a href=https://cryptocompare.com/coins/chz/overview>Chiliz</a>,0.24,<p class=green>+0.33</p>,<p class=red>-1.98</p>,"107,361,980.0","2,154,666,666.0","8,888,888,888.0",2022-03-26 23:38:58
84,<a href=https://cryptocompare.com/coins/cake/overview>CAKE</a>,<a href=https://cryptocompare.com/coins/cake/overview>PancakeSwap</a>,7.35,<p class=green>+0.5</p>,<p class=green>+4.06</p>,"49,225,162.0","2,058,551,077.0","280,122,820.0",2022-03-26 23:39:04
85,<a href=https://cryptocompare.com/coins/fxs/overview>FXS</a>,<a href=https://cryptocompare.com/coins/fxs/overview>Frax Share</a>,20.65,<p class=green>+0.95</p>,<p class=green>+13.77</p>,"17,302,734.0","2,049,429,422.0","99,252,741.0",2022-03-26 23:39:04
86,<a href=https://cryptocompare.com/coins/one/overview>ONE</a>,<a href=https://cryptocompare.com/coins/one/overview>Harmony</a>,0.15,<p class=green>+0.67</p>,<p class=green>+4.64</p>,"55,651,720.0","2,025,801,966.0","13,398,161,153.0",2022-03-26 23:38:03
87,<a href=https://cryptocompare.com/coins/mkr/overview>MKR</a>,<a href=https://cryptocompare.com/coins/mkr/overview>Maker</a>,"2,016.24",<p class=green>+0.39</p>,<p class=green>+0.33</p>,"9,495,648.0","1,971,138,801.0","977,631.0",2022-03-26 23:38:23
88,<a href=https://cryptocompare.com/coins/ht/overview>HT</a>,<a href=https://cryptocompare.com/coins/ht/overview>Huobi Token</a>,9.09,<p class=green>+0.07</p>,<p class=green>+2.02</p>,"10,878,047.0","1,906,899,444.0","209,826,083.0",2022-03-26 23:38:56
89,<a href=https://cryptocompare.com/coins/jasmy/overview>JASMY</a>,<a href=https://cryptocompare.com/coins/jasmy/overview>JasmyCoin</a>,0.04,<p class=red>-0.17</p>,<p class=red>-7.44</p>,"672,415.0","1,810,499,999.0","49,999,999,999.0",2022-03-26 23:38:29
90,<a href=https://cryptocompare.com/coins/xrd/overview>XRD</a>,<a href=https://cryptocompare.com/coins/xrd/overview>Radix</a>,0.15,<p class=green>+0.48</p>,<p class=green>+0.07</p>,"101,477.0","1,805,376,170.0","12,214,994,384.0",2022-03-26 23:39:08
91,<a href=https://cryptocompare.com/coins/stx/overview>STX</a>,<a href=https://cryptocompare.com/coins/stx/overview>Stacks</a>,1.36,<p class=green>+0.89</p>,<p class=green>+1.56</p>,"7,181,115.0","1,779,730,286.0","1,304,787,600.0",2022-03-26 23:39:08
92,<a href=https://cryptocompare.com/coins/ens/overview>ENS</a>,<a href=https://cryptocompare.com/coins/ens/overview>Ethereum Name Service</a>,17.35,<p class=green>+0.23</p>,<p class=red>-1.25</p>,"17,997,248.0","1,735,000,000.0","100,000,000.0",2022-03-26 23:39:05
93,<a href=https://cryptocompare.com/coins/nu/overview>NU</a>,<a href=https://cryptocompare.com/coins/nu/overview>NuCypher</a>,0.44,<p class=green>+0.69</p>,<p class=green>+0.5</p>,"852,581.0","1,708,406,018.0","3,885,390,081.0",2022-03-26 23:38:29
94,<a href=https://cryptocompare.com/coins/bsv/overview>BSV</a>,<a href=https://cryptocompare.com/coins/bsv/overview>Bitcoin SV</a>,89.86,<p class=red>-0.01</p>,<p class=green>+0.01</p>,"35,293,219.0","1,708,713,320.0","19,015,282.0",2022-03-26 23:37:45
95,<a href=https://cryptocompare.com/coins/ray/overview>RAY</a>,<a href=https://cryptocompare.com/coins/ray/overview>Raydium</a>,3.07,<p class=green>+0.43</p>,<p class=red>-0.39</p>,"8,740,307.0","1,702,739,999.0","554,999,999.0",2022-03-26 23:39:07
96,<a href=https://cryptocompare.com/coins/xch/overview>XCH</a>,<a href=https://cryptocompare.com/coins/xch/overview>Chia</a>,68.95,<p class=green>+0.32</p>,<p class=green>+0.47</p>,"5,443,112.0","1,689,186,718.0","24,499,665.0",2022-03-26 23:39:04
97,<a href=https://cryptocompare.com/coins/enj/overview>ENJ</a>,<a href=https://cryptocompare.com/coins/enj/overview>Enjin Coin</a>,1.66,<p class=green>+0.67</p>,<p class=green>+2.6</p>,"34,197,166.0","1,658,000,000.0","1,000,000,000.0",2022-03-26 23:38:58
98,<a href=https://cryptocompare.com/coins/lyxe/overview>LYXE</a>,<a href=https://cryptocompare.com/coins/lyxe/overview>LUKSO</a>,16.38,<p class=red>-0.26</p>,<p class=red>-3.02</p>,"1,208,827.0","1,637,710,847.0","100,000,000.0",2022-03-26 23:39:03
99,<a href=https://cryptocompare.com/coins/xec/overview>XEC</a>,<a href=https://cryptocompare.com/coins/xec/overview>eCash</a>,0.0,<p class=green>+4.91</p>,<p class=green>+2.4</p>,"6,098,578.0","1,630,009,379.0","19,015,508,396,789.0",2022-03-26 23:38:49
